Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.1,,
PEAK,33.0,-1.5,0.8,1.7
PEAK,270.0,-0.5,1.0,1.39
LOW_SHELF,400.0,-2.0,0.71,
PEAK,900.0,1.0,2.0,0.71
PEAK,1450.0,-4.6,1.5,0.94
PEAK,2320.0,-1.8,2.5,0.57
PEAK,3550.0,5.5,1.0,1.39
PEAK,6000.0,-2.8,6.0,0.24
PEAK,7150.0,-4.5,5.0,0.29
HIGH_SHELF,10000.0,5.0,0.71,
