Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-6.0,,
LOW_SHELF,99.0,6.0,0.7,0.31
PEAK,1500.0,-5.7,1.41,1.0
PEAK,1950.0,-0.6,5.0,0.29
PEAK,3320.0,-1.7,3.0,0.48
PEAK,5000.0,3.0,1.5,0.94
PEAK,5900.0,-8.5,3.5,0.41
PEAK,7000.0,4.0,1.0,1.39
PEAK,10500.0,-7.0,5.0,0.29
HIGH_SHELF,16000.0,-4.0,0.7,0.29
