Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-14.7,,
LOW_SHELF,30.0,15.0,0.71,
PEAK,65.0,-3.3,0.8,1.7
PEAK,1320.0,-6.5,1.4,1.01
HIGH_SHELF,1550.0,3.0,0.71,
PEAK,2050.0,1.5,3.0,0.48
PEAK,2950.0,-1.0,3.0,0.48
PEAK,3800.0,1.5,3.0,0.48
PEAK,5750.0,-7.7,3.0,0.48
