Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.1,,
PEAK,200.0,-6.7,0.5,2.54
PEAK,840.0,0.6,1.5,0.94
PEAK,1300.0,-0.5,2.0,0.71
PEAK,3050.0,-2.0,7.0,0.21
PEAK,3200.0,6.0,1.0,1.39
PEAK,5100.0,-1.5,6.0,0.24
PEAK,5900.0,-2.2,6.0,0.24
PEAK,7300.0,-2.5,3.0,0.48
PEAK,8500.0,-2.5,3.0,0.48
