Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.3,,
PEAK,140.0,-4.4,0.25,4.17
HIGH_SHELF,420.0,3.0,0.71,
PEAK,1230.0,-1.3,1.1,1.27
PEAK,3200.0,-2.1,2.5,0.57
PEAK,5500.0,3.0,1.5,0.94
PEAK,7860.0,-5.0,4.0,0.36
