Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-9.5,,
LOW_SHELF,26.0,3.5,0.71,
LOW_SHELF,105.0,5.5,0.71,
PEAK,240.0,-0.6,1.4,1.01
PEAK,540.0,0.8,1.4,1.01
PEAK,760.0,-1.1,2.5,0.57
HIGH_SHELF,1800.0,7.0,0.71,
PEAK,2670.0,-2.9,2.7,0.53
PEAK,3850.0,4.0,1.4,1.01
PEAK,5650.0,-5.2,3.5,0.41
HIGH_SHELF,9000.0,-7.5,0.71,
