Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.5,,
PEAK,80.0,-2.2,0.7,1.92
LOW_SHELF,105.0,5.5,0.71,
PEAK,1320.0,-6.5,1.4,1.01
HIGH_SHELF,1550.0,3.0,0.71,
PEAK,2050.0,1.5,3.0,0.48
PEAK,2950.0,-1.0,3.0,0.48
PEAK,3800.0,1.5,3.0,0.48
PEAK,5750.0,-7.7,3.0,0.48
