Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-7.0,,
LOW_SHELF,105.0,5.5,0.71,
LOW_SHELF,350.0,-4.5,0.71,
PEAK,410.0,8.5,1.5,0.94
PEAK,2180.0,-2.7,2.0,0.71
HIGH_SHELF,3500.0,4.5,0.71,
PEAK,4050.0,-3.9,4.5,0.32
PEAK,5760.0,-2.6,4.0,0.36
PEAK,8300.0,-2.0,5.5,0.26
PEAK,10900.0,-3.0,5.0,0.29
HIGH_SHELF,12000.0,-3.0,0.71,
