Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-10.6,,
PEAK,280.0,-2.0,1.2,1.17
PEAK,900.0,3.0,1.0,1.39
PEAK,1375.0,-1.3,3.0,0.48
PEAK,1900.0,1.2,4.0,0.36
PEAK,2550.0,-2.5,2.5,0.57
PEAK,3600.0,-3.4,3.5,0.41
PEAK,4500.0,3.0,4.0,0.36
PEAK,5800.0,12.0,1.5,0.94
HIGH_SHELF,8000.0,-5.0,0.7,0.3
PEAK,8000.0,-8.0,4.0,0.36
