Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-8.3,,
PEAK,200.0,-2.0,2.0,0.71
PEAK,830.0,3.4,0.7,1.92
PEAK,1300.0,-1.1,2.0,0.71
PEAK,3500.0,8.0,0.8,1.7
PEAK,5150.0,-5.0,5.0,0.29
PEAK,8000.0,4.4,2.0,0.71
PEAK,9300.0,-6.0,6.0,0.24
