Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.0,,
PEAK,49.0,-3.4,0.9,1.53
PEAK,98.0,-9.1,0.55,2.35
LOW_SHELF,105.0,5.5,0.71,
PEAK,268.0,-1.3,2.0,0.71
PEAK,850.0,0.8,0.7,1.92
PEAK,1400.0,1.9,2.5,0.57
HIGH_SHELF,1800.0,-7.5,0.71,
PEAK,2515.0,-2.4,1.8,0.79
PEAK,5580.0,-9.5,5.0,0.29
