Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-4.4,,
PEAK,21.0,4.5,1.0,1.39
PEAK,97.0,-1.8,0.7,1.92
PEAK,215.0,-0.8,1.1,1.27
PEAK,600.0,0.6,1.0,1.39
PEAK,1300.0,-1.1,1.6,0.89
HIGH_SHELF,1900.0,3.0,0.71,
PEAK,2900.0,-2.0,3.0,0.48
PEAK,3400.0,-2.1,3.0,0.48
PEAK,5500.0,-1.7,3.0,0.48
HIGH_SHELF,11000.0,-3.0,0.71,
