Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-6.5,,
PEAK,3250.0,-2.7,3.0,0.48
LOW_SHELF,65.0,6.5,0.7,0.31
PEAK,200.0,-2.4,1.1,1.27
PEAK,1250.0,-1.2,2.0,0.71
PEAK,4250.0,3.0,5.0,0.29
