Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-12.2,,
PEAK,35.0,8.0,1.0,1.39
PEAK,85.0,-6.3,1.0,1.39
LOW_SHELF,105.0,5.5,0.71,
PEAK,1175.0,-6.8,1.4,1.01
PEAK,2300.0,3.5,2.0,0.71
PEAK,3700.0,-1.3,3.0,0.48
PEAK,5300.0,-4.0,4.0,0.36
PEAK,8000.0,4.0,1.4,1.01
HIGH_SHELF,9000.0,-3.0,0.71,
PEAK,10500.0,-4.0,6.0,0.24
