Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.0,,
PEAK,30.0,-1.7,0.8,1.7
PEAK,70.0,-3.0,0.6,2.19
LOW_SHELF,105.0,5.5,0.71,
PEAK,220.0,-4.4,0.6,2.19
PEAK,700.0,1.1,1.0,1.39
PEAK,4000.0,2.0,2.0,0.71
PEAK,5500.0,-2.8,4.5,0.32
PEAK,7400.0,-2.5,5.0,0.29
PEAK,8300.0,-4.4,5.0,0.29
HIGH_SHELF,11000.0,-5.0,0.71,
