Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-2.5,,
PEAK,24.0,-3.0,0.5,2.54
LOW_SHELF,400.0,-4.3,0.71,
PEAK,800.0,0.6,2.0,0.71
PEAK,1700.0,-2.5,1.9,0.75
PEAK,2480.0,-4.8,2.0,0.71
PEAK,3650.0,1.5,2.0,0.71
PEAK,5350.0,-4.5,4.5,0.32
HIGH_SHELF,8000.0,2.5,0.71,
