Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-14.9,,
PEAK,190.0,-6.0,0.43,2.86
PEAK,380.0,0.8,2.0,0.71
PEAK,800.0,2.9,1.0,1.39
PEAK,2300.0,-2.0,1.0,1.39
PEAK,2900.0,-1.0,3.0,0.48
PEAK,4000.0,-9.9,3.0,0.48
PEAK,5900.0,1.0,4.0,0.36
PEAK,7400.0,16.0,1.0,1.39
PEAK,9800.0,-6.5,4.5,0.32
