Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.5,,
PEAK,54.0,-2.3,1.0,1.39
LOW_SHELF,105.0,5.5,0.71,
PEAK,140.0,-1.4,0.7,1.92
PEAK,1350.0,-3.3,1.5,0.94
PEAK,1830.0,2.4,1.3,1.08
PEAK,3230.0,-1.4,4.0,0.36
PEAK,4420.0,-3.1,4.5,0.32
PEAK,5600.0,-4.1,2.5,0.57
PEAK,7000.0,2.5,1.2,1.17
HIGH_SHELF,10000.0,-1.0,0.71,
