Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-3.7,,
LOW_SHELF,280.0,-15.5,0.5,0.6
PEAK,800.0,1.4,1.0,1.39
PEAK,1550.0,-1.2,2.2,0.65
PEAK,2450.0,-1.1,2.0,0.71
PEAK,4650.0,-4.6,2.8,0.51
HIGH_SHELF,5000.0,4.0,0.8,
HIGH_SHELF,11000.0,-1.0,1.0,
