Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-8.4,,
LOW_SHELF,45.0,1.0,0.71,
LOW_SHELF,105.0,5.5,0.71,
PEAK,600.0,0.8,1.4,1.01
PEAK,1680.0,-2.7,1.8,0.79
HIGH_SHELF,1900.0,8.0,0.71,
PEAK,3200.0,-1.8,3.0,0.48
PEAK,4800.0,1.5,1.4,1.01
PEAK,6300.0,-3.0,4.0,0.36
PEAK,8000.0,-3.5,4.0,0.36
HIGH_SHELF,13000.0,-4.0,0.71,
