Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-3.5,,
LOW_SHELF,400.0,-2.0,0.71,
PEAK,800.0,0.8,1.4,1.01
HIGH_SHELF,1400.0,3.0,0.71,
PEAK,1410.0,-1.7,1.3,1.08
PEAK,2700.0,1.3,2.1,0.68
PEAK,4330.0,-2.5,2.6,0.55
PEAK,8000.0,-3.0,3.0,0.48
