Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-0.6,,
LOW_SHELF,55.0,-4.0,0.71,0.11
PEAK,790.0,1.0,1.2,1.17
PEAK,1450.0,-2.5,1.3,1.08
PEAK,2000.0,1.2,2.0,0.71
PEAK,3150.0,-4.6,1.4,1.01
PEAK,6200.0,1.3,2.0,0.71
