Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-1.3,,
LOW_SHELF,105.0,0.0,0.71,
PEAK,83.0,-3.9,1.4,1.01
PEAK,950.0,-0.6,1.0,1.39
PEAK,2000.0,1.5,1.4,1.01
PEAK,3400.0,-3.3,2.0,0.71
PEAK,5200.0,2.3,1.4,1.01
PEAK,6900.0,-2.2,3.0,0.48
HIGH_SHELF,10000.0,1.0,0.71,
