Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-10.5,,
LOW_SHELF,70.0,5.0,0.71,
LOW_SHELF,105.0,5.5,0.71,
PEAK,1500.0,-6.5,1.2,1.17
HIGH_SHELF,1600.0,8.0,0.71,
PEAK,3000.0,-2.4,3.0,0.48
PEAK,4550.0,-5.8,2.0,0.71
PEAK,6000.0,-1.7,4.0,0.36
HIGH_SHELF,14000.0,-10.0,0.71,
