Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-2.6,,
PEAK,125.0,2.6,0.8,1.7
PEAK,1400.0,-1.5,2.0,0.71
PEAK,2680.0,-1.0,4.0,0.36
PEAK,3457.0,-1.7,3.0,0.48
PEAK,6050.0,-2.7,6.0,0.24
PEAK,10750.0,-7.2,4.0,0.36
