Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-8.5,,
LOW_SHELF,70.0,4.0,0.7,0.29
LOW_SHELF,75.0,4.5,0.7,0.29
PEAK,700.0,1.1,2.0,0.71
PEAK,1250.0,-4.5,1.0,1.39
PEAK,2100.0,8.0,3.0,0.48
PEAK,3000.0,-1.6,3.5,0.41
PEAK,3850.0,2.8,4.0,0.36
PEAK,4900.0,4.0,4.0,0.36
PEAK,6200.0,-1.8,5.0,0.29
PEAK,7200.0,5.0,6.0,0.24
