Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.7,,
PEAK,40.0,-0.9,1.0,1.39
PEAK,80.0,1.0,3.0,0.48
PEAK,140.0,-6.6,0.9,1.53
PEAK,300.0,2.4,1.0,1.39
PEAK,1150.0,-1.3,1.5,0.94
PEAK,2600.0,6.0,1.0,1.39
PEAK,3600.0,-1.5,3.0,0.48
PEAK,6000.0,2.0,2.0,0.71
PEAK,8000.0,-2.5,3.0,0.48
