Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-4.1,,
LOW_SHELF,105.0,5.5,0.71,
LOW_SHELF,120.0,-4.5,0.71,
PEAK,200.0,-3.0,0.7,1.92
PEAK,1900.0,4.1,0.7,1.92
PEAK,2000.0,1.9,1.6,0.89
PEAK,3900.0,-6.0,0.9,1.53
PEAK,6300.0,-3.4,6.0,0.24
PEAK,9000.0,3.0,1.0,1.39
