Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-3.0,,
LOW_SHELF,200.0,-6.0,0.7,0.31
PEAK,290.0,-5.2,0.55,2.35
PEAK,1100.0,-1.2,2.0,0.71
PEAK,2350.0,2.6,1.7,0.84
PEAK,2750.0,-1.0,4.0,0.36
PEAK,3800.0,2.0,3.0,0.48
PEAK,5100.0,-3.0,5.0,0.29
PEAK,6500.0,4.0,4.0,0.36
PEAK,8000.0,-3.0,3.0,0.48
