Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-9.0,,
LOW_SHELF,38.0,3.5,0.71,
LOW_SHELF,105.0,5.5,0.71,
PEAK,570.0,1.5,1.4,1.01
PEAK,1020.0,-2.2,2.5,0.57
PEAK,1950.0,4.8,1.3,1.08
PEAK,2850.0,-3.0,2.5,0.57
PEAK,4300.0,-1.4,4.0,0.36
PEAK,5200.0,4.0,1.4,1.01
PEAK,6400.0,-1.7,5.0,0.29
PEAK,8150.0,-3.2,6.0,0.24
