Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.8,,
LOW_SHELF,100.0,4.5,0.7,1.92
PEAK,1000.0,4.4,0.9,1.53
PEAK,1380.0,-4.4,1.1,1.27
PEAK,2550.0,-1.3,2.0,0.71
HIGH_SHELF,3300.0,7.0,0.71,1.89
HIGH_SHELF,10000.0,-7.0,0.71,1.89
