Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-10.0,,
PEAK,65.0,-1.9,0.4,3.02
PEAK,330.0,-2.3,0.4,3.02
PEAK,950.0,0.9,1.0,1.39
PEAK,2075.0,-3.0,1.5,0.94
PEAK,3750.0,6.1,1.0,1.39
PEAK,5470.0,-11.2,3.5,0.41
PEAK,8100.0,-8.0,5.5,0.26
HIGH_SHELF,10000.0,10.0,0.71,
