Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-1.3,,
LOW_SHELF,110.0,0.0,0.71,1.89
LOW_SHELF,190.0,-9.0,0.71,1.89
PEAK,1350.0,2.7,1.4,1.01
PEAK,2470.0,-8.0,1.4,1.01
PEAK,3500.0,4.0,1.4,1.01
PEAK,4400.0,-2.7,4.0,0.36
PEAK,5200.0,-0.9,6.0,0.24
PEAK,6900.0,-2.3,6.0,0.24
HIGH_SHELF,7500.0,-8.0,0.71,1.89
HIGH_SHELF,12000.0,-1.0,0.71,1.89
