Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-7.6,,
PEAK,30.0,2.0,1.0,1.39
PEAK,250.0,-3.9,0.55,2.35
PEAK,950.0,0.8,2.0,0.71
PEAK,1600.0,-3.2,1.0,1.39
PEAK,3250.0,4.7,1.7,0.84
PEAK,5050.0,-2.8,4.5,0.32
PEAK,6100.0,4.6,3.0,0.48
PEAK,7450.0,-0.5,3.0,0.48
PEAK,9500.0,8.0,1.5,0.94
LOW_PASS,12500.0,0.0,0.7,1.92
