Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-4.1,,
LOW_SHELF,115.0,4.0,0.71,
PEAK,900.0,1.7,1.4,1.01
PEAK,1320.0,-1.4,2.5,0.57
HIGH_SHELF,1900.0,3.0,0.71,
PEAK,2650.0,-2.7,2.5,0.57
PEAK,5700.0,-1.5,4.0,0.36
HIGH_SHELF,9000.0,-3.0,0.71,
