Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-6.7,,
LOW_SHELF,90.0,6.7,0.71,
PEAK,820.0,-1.0,1.5,0.94
PEAK,1850.0,6.0,0.9,1.53
PEAK,3550.0,-4.0,3.0,0.48
PEAK,4800.0,-3.1,3.0,0.48
HIGH_SHELF,6000.0,-3.0,0.71,
