Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-6.7,,
PEAK,80.0,1.3,2.0,0.71
PEAK,170.0,-4.0,0.9,1.53
PEAK,300.0,1.6,1.0,1.39
PEAK,890.0,-3.1,3.0,0.48
PEAK,1400.0,5.0,1.0,1.39
PEAK,2400.0,-3.4,2.0,0.71
PEAK,3800.0,4.6,2.5,0.57
PEAK,4800.0,4.5,2.5,0.57
PEAK,6750.0,-5.1,6.0,0.24
HIGH_SHELF,10000.0,3.0,0.7,0.28
