Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-6.2,,
PEAK,20.0,3.0,1.3,1.08
LOW_SHELF,130.0,3.2,0.7,0.29
PEAK,370.0,-6.4,0.5,2.54
PEAK,1350.0,-1.9,2.0,0.71
PEAK,2200.0,1.1,2.5,0.57
PEAK,3000.0,-1.8,3.0,0.48
PEAK,5050.0,-4.8,3.5,0.41
PEAK,6600.0,2.9,4.0,0.36
PEAK,8000.0,-5.6,3.0,0.48
HIGH_SHELF,10000.0,-1.5,0.7,0.28
