Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-1.8,,
HIGH_SHELF,157.0,-8.0,0.4,0.35
PEAK,2720.0,9.0,3.0,0.48
PEAK,4550.0,4.5,2.0,0.71
PEAK,7000.0,-0.7,0.8,1.7
PEAK,8500.0,0.8,1.4,1.01
PEAK,10100.0,-5.8,3.0,0.48
HIGH_SHELF,13000.0,9.0,0.6,1.44
