Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-4.6,,
PEAK,26.0,5.4,0.8,1.7
PEAK,210.0,-9.2,0.41,2.97
PEAK,915.0,1.5,1.4,1.01
PEAK,2600.0,-1.0,3.0,0.48
PEAK,4450.0,-1.8,5.0,0.29
HIGH_SHELF,13000.0,-5.0,0.7,0.3
