Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,0.1,,
PEAK,300.0,-3.3,0.5,2.54
PEAK,800.0,1.1,1.3,1.08
PEAK,1300.0,-2.5,2.0,0.71
PEAK,1700.0,-7.0,1.9,0.75
PEAK,3000.0,-1.3,3.0,0.48
