Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-2.9,,
LOW_SHELF,97.0,-2.6,0.71,
LOW_SHELF,105.0,5.5,0.71,
PEAK,210.0,-5.5,0.5,2.54
PEAK,400.0,1.6,1.0,1.39
PEAK,1050.0,-1.0,2.2,0.65
PEAK,1800.0,2.2,1.4,1.01
PEAK,4000.0,-1.0,1.4,1.01
PEAK,7900.0,4.0,1.0,1.39
PEAK,8000.0,-3.0,5.0,0.29
HIGH_SHELF,11000.0,-6.0,0.71,
