Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-9.5,,
LOW_SHELF,38.0,4.0,0.71,
PEAK,65.0,-1.1,1.4,1.01
LOW_SHELF,105.0,5.5,0.71,
PEAK,990.0,-5.2,2.5,0.57
HIGH_SHELF,1400.0,6.0,0.71,
PEAK,1500.0,-2.7,2.7,0.53
PEAK,3400.0,-1.3,4.0,0.36
PEAK,4700.0,-1.5,4.0,0.36
PEAK,8400.0,-4.0,6.0,0.24
HIGH_SHELF,11000.0,-10.0,0.71,
