Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-8.2,,
LOW_SHELF,35.0,2.7,0.71,
LOW_SHELF,105.0,5.5,0.71,
PEAK,650.0,0.8,1.0,1.39
PEAK,1100.0,-1.1,2.0,0.71
PEAK,1850.0,2.0,2.0,0.71
PEAK,3000.0,-3.5,2.0,0.71
PEAK,5000.0,2.0,2.0,0.71
PEAK,6600.0,-1.3,3.5,0.41
PEAK,9000.0,-1.5,6.0,0.24
HIGH_SHELF,10000.0,0.5,0.71,
