Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-6.1,,
LOW_SHELF,94.0,3.2,0.9,
PEAK,214.0,1.6,2.5,0.57
PEAK,5050.0,4.2,3.0,0.48
PEAK,6500.0,2.1,3.0,0.48
PEAK,8770.0,-3.1,6.0,0.24
HIGH_SHELF,7000.0,6.0,0.7,0.31
