Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-3.6,,
PEAK,45.0,-8.7,0.3,3.7
LOW_SHELF,105.0,5.5,0.71,
PEAK,325.0,5.3,1.1,1.27
PEAK,790.0,-2.1,1.4,1.01
PEAK,2400.0,3.2,1.1,1.27
PEAK,3000.0,-1.0,4.0,0.36
PEAK,3700.0,1.0,1.4,1.01
PEAK,4050.0,-1.9,7.0,0.21
PEAK,6000.0,-1.9,5.0,0.29
HIGH_SHELF,9000.0,1.0,0.71,
