Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-7.4,,
PEAK,43.0,-4.8,0.4,3.02
LOW_SHELF,105.0,5.5,0.71,
PEAK,173.0,-2.3,2.0,0.71
PEAK,300.0,6.0,1.1,1.27
HIGH_SHELF,2000.0,9.0,0.71,
PEAK,2150.0,-2.6,2.0,0.71
PEAK,3480.0,-5.5,3.8,0.38
PEAK,5850.0,-1.5,5.0,0.29
PEAK,8000.0,-3.1,3.5,0.41
HIGH_SHELF,11000.0,-4.0,0.71,
