Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.3,,
LOW_SHELF,105.0,5.5,0.71,
PEAK,110.0,-4.8,0.4,3.02
PEAK,268.0,-1.1,5.0,0.29
PEAK,670.0,0.9,3.0,0.48
PEAK,1950.0,1.0,2.5,0.57
PEAK,2900.0,-1.4,4.5,0.32
PEAK,3900.0,-5.3,2.3,0.62
PEAK,5300.0,-2.5,6.0,0.24
HIGH_SHELF,11000.0,-4.0,0.71,
