Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-9.6,,
LOW_SHELF,80.0,6.6,0.6,1.49
PEAK,175.0,-0.8,1.5,0.94
PEAK,550.0,1.1,1.0,1.39
PEAK,1075.0,-6.0,2.0,0.71
PEAK,2125.0,7.7,0.9,1.53
PEAK,3250.0,-4.4,2.5,0.57
PEAK,4400.0,9.0,1.0,1.39
PEAK,6250.0,-5.5,4.0,0.36
PEAK,8200.0,-4.5,5.0,0.29
