Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-12.5,,
LOW_SHELF,35.0,7.0,0.71,
PEAK,95.0,-1.5,1.0,1.39
LOW_SHELF,105.0,5.5,0.71,
PEAK,200.0,-1.5,1.4,1.01
PEAK,1250.0,-2.2,1.4,1.01
PEAK,2300.0,4.0,1.4,1.01
PEAK,3000.0,-1.9,4.0,0.36
PEAK,4800.0,-3.4,3.0,0.48
PEAK,6200.0,-6.5,2.7,0.53
HIGH_SHELF,11000.0,-3.0,0.71,
