Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-4.6,,
PEAK,110.0,-2.8,1.2,1.17
PEAK,255.0,-4.0,1.0,1.39
PEAK,460.0,-2.9,2.0,0.71
PEAK,875.0,2.5,3.0,0.48
PEAK,1775.0,-7.3,2.3,0.62
PEAK,4250.0,-4.7,4.0,0.36
PEAK,6000.0,6.0,3.0,0.48
PEAK,7550.0,-8.0,6.0,0.24
