Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.9,,
PEAK,25.0,4.0,1.2,1.17
LOW_SHELF,160.0,1.9,0.71,
PEAK,1200.0,-4.2,1.9,0.75
PEAK,1700.0,-6.5,2.0,0.71
HIGH_SHELF,1800.0,4.0,0.71,
PEAK,4800.0,-5.0,3.0,0.48
HIGH_SHELF,10000.0,-7.0,0.71,
