Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-4.9,,
PEAK,30.0,2.0,1.0,1.39
LOW_SHELF,110.0,3.0,0.71,
PEAK,310.0,-4.5,0.5,2.54
PEAK,900.0,1.4,2.5,0.57
PEAK,1330.0,-3.4,0.8,1.7
PEAK,3500.0,-1.8,2.0,0.71
PEAK,6000.0,-1.2,2.0,0.71
