Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-8.6,,
LOW_SHELF,32.0,3.1,0.71,1.89
LOW_SHELF,105.0,5.5,0.71,1.89
PEAK,570.0,2.2,0.8,1.7
PEAK,1350.0,-2.9,1.7,0.84
HIGH_SHELF,1800.0,6.0,0.71,1.89
PEAK,3030.0,-2.9,2.8,0.51
PEAK,3630.0,-2.2,4.8,0.3
PEAK,5900.0,-5.3,6.0,0.24
PEAK,7000.0,2.0,1.0,1.39
HIGH_SHELF,10000.0,-5.0,0.71,1.89
