Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-3.8,,
LOW_SHELF,85.0,9.0,0.64,207.73
PEAK,1320.0,3.0,3.0,0.48
LOW_SHELF,1800.0,-5.2,0.7,0.3
PEAK,1970.0,-2.1,4.0,0.36
PEAK,2600.0,0.9,3.0,0.48
PEAK,3550.0,-2.5,4.5,0.32
PEAK,4000.0,1.1,4.0,0.36
PEAK,5420.0,-7.9,6.0,0.24
PEAK,6020.0,2.8,6.0,0.24
PEAK,7600.0,3.0,5.0,0.29
