Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.4,,
PEAK,60.0,-3.4,1.0,1.39
LOW_SHELF,105.0,5.5,0.71,
PEAK,255.0,-5.0,0.5,2.54
PEAK,470.0,3.3,1.4,1.01
PEAK,740.0,-4.7,1.6,0.89
HIGH_SHELF,1300.0,3.0,0.71,
PEAK,1400.0,-2.0,3.0,0.48
PEAK,3050.0,-4.4,2.7,0.53
PEAK,4900.0,-2.9,4.0,0.36
HIGH_SHELF,14000.0,-8.0,0.71,
