Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-8.1,,
LOW_SHELF,38.0,8.0,0.8,
PEAK,210.0,-1.3,3.0,0.48
PEAK,360.0,2.0,3.0,0.48
PEAK,1250.0,-6.1,1.7,0.84
PEAK,2450.0,3.5,3.0,0.48
PEAK,3700.0,8.8,1.5,0.94
PEAK,4950.0,-6.0,4.0,0.36
PEAK,7300.0,-7.1,3.0,0.48
PEAK,8200.0,-3.2,6.0,0.24
