Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-4.7,,
PEAK,35.0,5.0,2.0,0.71
PEAK,200.0,-4.9,0.6,2.19
PEAK,360.0,2.8,1.1,1.27
PEAK,1380.0,-1.1,3.0,0.48
HIGH_SHELF,3300.0,-3.0,0.71,
PEAK,4400.0,-2.5,5.0,0.29
PEAK,4700.0,2.5,1.4,1.01
PEAK,8150.0,-3.7,4.0,0.36
HIGH_SHELF,11000.0,-3.0,0.71,
