Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-6.8,,
LOW_SHELF,160.0,6.8,0.6,1.49
HIGH_SHELF,1050.0,-2.5,1.4,
PEAK,2550.0,-1.1,3.0,0.48
HIGH_SHELF,4000.0,6.0,0.7,0.31
PEAK,4900.0,-2.7,2.0,0.71
PEAK,7100.0,6.0,1.0,1.39
PEAK,10000.0,-4.0,3.0,0.48
PEAK,12800.0,-9.0,1.5,0.94
