Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.0,,
LOW_SHELF,22.0,5.0,0.71,
PEAK,76.0,-0.6,2.0,0.71
PEAK,460.0,0.7,3.0,0.48
PEAK,820.0,-1.6,2.0,0.71
PEAK,2000.0,6.0,1.3,1.08
PEAK,2970.0,-3.6,2.0,0.71
PEAK,4650.0,-1.9,4.0,0.36
PEAK,7500.0,-0.5,5.0,0.29
PEAK,8200.0,-1.0,5.0,0.29
