Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-7.0,,
LOW_SHELF,105.0,5.5,0.71,
PEAK,185.0,1.7,2.0,0.71
HIGH_SHELF,1300.0,7.0,0.71,
PEAK,4000.0,-2.3,3.0,0.48
PEAK,6250.0,-3.6,4.0,0.36
PEAK,9400.0,-2.8,4.0,0.36
