Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-5.3,,
LOW_SHELF,105.0,5.5,0.71,
PEAK,210.0,-4.5,0.2,4.75
PEAK,920.0,-3.4,1.0,1.39
PEAK,1600.0,7.8,0.8,1.7
PEAK,2550.0,-2.0,5.0,0.29
PEAK,4100.0,-3.1,4.5,0.32
PEAK,5250.0,-3.1,5.0,0.29
PEAK,6300.0,-4.4,6.0,0.24
PEAK,7800.0,-2.9,6.0,0.24
HIGH_SHELF,10000.0,-2.0,0.71,
