Filter Type,Frequency(Hz),Gain(dB),Q-Factor,BW
PREAMP,,-11.0,,
LOW_SHELF,80.0,11.0,0.6,1.4
PEAK,830.0,1.3,1.5,0.94
PEAK,1300.0,-1.0,3.0,0.48
PEAK,2100.0,-3.8,1.0,1.39
HIGH_SHELF,3500.0,8.0,0.71,
PEAK,3900.0,-1.4,4.5,0.32
PEAK,5600.0,-1.4,5.0,0.29
HIGH_SHELF,8000.0,-8.0,0.71,
